Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NES;Leinach Espenloh;Espenloh;Üst;;DE 16194;0080;7;20081214;;229070;J;N;
NESB;Eschenbach (b Markt Erlbach);Eschenbach b M E;Hp;;DE 13012;0080;7;20081214;;224949;J;N;
NESD;Escherndorf;Escherndorf;Museum;; ;0080;;20050913;;;N;N;
NESE;Esbacher See Abzw;Esbacher See Abz;Abzw;Planung;DE 21567;0080;7;20131001;;108923;N;N;
NESU;Eschenau (Mittelfr);Eschenau (Mfr);Bf;;DE 13011;0080;7;20081214;;222216;J;N;
NET;Etterzhausen;Etterzhausen;Hp;;DE 13094;0080;7;20081214;;262980;J;N;
NEU;Euerdorf;Euerdorf;Hp;;DE 13109;0080;7;20081214;;225524;J;N;
NEVO;Bayreuth-St Georgen EVO;Bayreuth-St EVO;NE-Anst;; ;0080;;20081214;;227777;J;N;
NEW;Etzelwang;Etzelwang;Hp;;DE 13100;0080;7;20081214;;223248;J;N;
NEZ;Etzenricht;Etzenricht;Hp;;DE 13103;0080;7;20081214;;261545;J;N;
NF;Fürth (Bay) Hbf;Fürth (Bay) Hbf;Bf;;DE 13514;0080;7;20081214;;221887;J;N;
NF  G;Fürth (Bay) Gbf;Fürth (Bay) Gbf;Bft;;DE 13513;0080;7;20081214;;909288;J;N;
NFA;Falls;Falls;Hp;a.B.;DE 13152;0080;7;20080101;;220020;N;N;
NFBB;Fürth-Burgfarrnbach;Fürth-Burgfbach;Bf;;DE 13520;0080;7;20081214;;224857;J;N;
NFCH;Faulbach (Main);Faulbach;Hp;;DE 13157;0080;5;20091213;;226548;J;N;
NFD;Fladungen;Fladungen;Museum;; ;0080;;20100301;;;N;N;
NFDB;Fürth-Dambach;Fürth-Dambach;Hp;;DE 13521;0080;7;20081214;;227637;J;N;
NFDF;Förtschendorf;Förtschendorf;Bf;;DE 13258;0080;7;20081214;;220269;J;N;
NFEX;Feuerfelsen-Tunnel Tbv;Feuerfelsen Tbv;Tbv;Planung; ;0080;7;20131116;;108992;N;N;
NFF;Frensdorf;Frensdorf;vp-Bf;;DE 13419;0080;7;20081219;;221044;J;N;
NFFG;Strullendorf DB-Grenze;Strullend DB-Gr;Gp;;DE 20053;0080;7;20130904;;107410;J;N;
NFH;Forth;Forth;Hp;;DE 13256;0080;7;20081214;;222224;J;N;
NFHA;Fischhaus;Fischhaus;vp-Hp;;DE 13206;0080;7;20131024;;101871;J;N;
NFHB;Frahelsbruck;Frahelsbruck;NE-Hp;; ;0080;;20090401;;493072;J;N;
NFI;Fischbach (b Nürnberg) ESTW;Fischbach ESTW;BZ;; ;0080;7;20091008;;223354;N;N;
NFIA;Fischbach (b Nürnberg) Üst;Fischbach Üst;Üst;a.B.;DE 13198;0080;7;20110501;;221093;N;N;
NFIH;Fischbach (b Nürnberg);Fischbach (Nür);Hp;;DE 13197;0080;7;20081214;;222018;J;N;
NFIL;Fichtelberg;Fichtelberg;Bf;ehemals;DE 13185;0080;7;20080101;;260869;N;N;
NFIN;Nürnberg-Fischbach Nokia;Nokia;Awanst;;DE 17871;0080;7;20081214;;607770;J;N;
NFKL;Fürth Klinikum;Fürth Klinikum;Hp;Planung;DE 13518;0080;7;20080101;;873414;N;N;
NFLS;Floß;Floß;Bf;ehemals;DE 13232;0080;7;20040701;;261180;N;N;
NFM;Freudenberg-Kirschfurt;Freudenberg;Hp;;DE 13425;0080;5;20091213;;226506;J;N;
NFO;Forchheim (Oberfr);Forchheim (Ofr);Bf;;DE 13241;0080;7;20081214;;221325;J;N;
NFOE;Förbau;Förbau;Hp;;DE 13239;0080;7;20081214;;260265;J;N;
